CT,Acqua Group,HIGH,Asset Allocator (DFI),Yes,">What DEG wants to achieve is for our clients to provide more and better jobs, increase local income and support transformation in developing markets while acting in a sustainable manner and creating benefits for local communities. (DERa_Manual_2.0, pg4)
",Yes,"Transaction Assessment (i.e., Investment-level impact assessment)",Yes,"1) What; (2) Who; (3) How significant

>Brassmetal transaction assessment:1, 2
1) What: The project contributes to the main private sector development categories defined in DERa. In particular, a contribution to the category decent jobs can be seen. As th",Yes,"Results measurement framework are incorporated in Transaction Assessment documents, which are key to the investment decision-making process. ",Yes,">The DERa produces a cumulative score with a maximum of 150 points. The key outcome categories “decent jobs”, “local income” and “market and sector development” - reflecting the main development effects of private sector activities - make up 75% of the to",x,x,x,(blank),(blank),3,"i. Brassmetal: The project contributes to the main private sector development categories defined in DERa. In particular, a contribution to the category decent jobs can be seen. As the market leader in its sector, PU makes a strong contribution to market a",x,(blank),(blank),(blank),(blank),1,i. TBC Bank: Market and Sector Development – The loan will support highly demanded lending to local SMEs and small corporates employing two thirds of the population in the country with an official unemployment rate of 12%. With the high quality of provide,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,ILO International Labor Standards,No,No
,Acqua Group,ADVANCED,Asset Allocator (DFI),Yes,"""TI assessment output includes a project score, a description of the TI impact (2 main qualities and objectives), indicators, and whether the project requires manual assessment and the reason for it. Transition Objectives Measurement System (TOMS) provide",Yes,"""TI assessment output includes a project score, a description of the TI impact (2 main qualities and objectives), indicators, and whether the project requires manual assessment and the reason for it. Transition Objectives Measurement System (TOMS) provide",Yes,"Impact Memos include a qualitative assessment of Transition impact potential (e.g, ""Good"") and Risks to transition impact (e.g., ""Medium""), Expected Transition Impact (ETI) on a 0 to 100 scale, and qualitative detail on positive impact, the primary and se",Yes,"Example transactions demonstrate that EPG reviews the preliminary impact memo, adjusts the assessment where needed, and then makes a recommendation on whether or not to proceed:
- ""EPG does not object to the project. The project will target the Well-Gover",Yes,#NAME?,x,x,x,x,x,5,"""EPG supports the extension of the WiB model to Tajikistan to encourage increased access to finance and related skills for women-led MSMEs, which are underserved by the formal financial system. EPG notes that the programme is mainly targeting the micro-en",x,x,x,(blank),N/A,3,See Principle 3,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
,Acqua Group,MODERATE,Asset Allocator (DFI),Yes,"Admission Approval Note includes a section evaluating Development Impact. (Admission Approval Note v2, pp.4)

Trade Manager User Manual includes fields to set a Baseline and a Target for each impact indicator. (Trade Manager User Manual, pp.41-42)

Electr",Yes,"Admission Approval Note includes a section evaluating Development Impact. (Admission Approval Note v2, pp.4)

Trade Manager User Manual includes fields to set a Baseline and a Target for each impact indicator. (Trade Manager User Manual, pp.41-42)

Electr",Yes,"ElectriFI
ElectriFI Impact Table from the CIP includes ""Baseline prior to investment"" and ""ElectriFI funding scope"" for each impact indicator. (ElectriFI Impact table_CIP)

AgriFI
AgriFI SME Clearance in Principle (CIP) template includes captures impact a",No,"""EDFI MC is currently in the process of reviewing its impact reporting framework. This will include assessing (a) What is the intended impact of each investment? (2) Who experiences the intended impact? (3) How significant is the intended impact? EDFI MC ",Yes,"""we follow the EU and their practice; that's the process there, we are also aligned and will continue to be aligned with the EDFI harmonized indicators, as these are agreed to with the DFI community, we can go back to the committee to align"" ~Sam, Targete",x,x,(blank),(blank),(blank),2,"ElectriFI
[What] ElectriFI indicators include Number of new connections, GHG avoidance, and number of jobs created, among others. (ElectriFI Impact table_CIP_FP)
[Who] ""Number of jobs created as a result of the increased access to energy in general and in",x,x,(blank),x,N/A,3,"Relative sizing
Market studies quantify in $ the total market and addressable ElectriFI market per sub-sector per country (EU ElectriFI Market Study - Tanzania, etc.)

Opportunities to increase impact
""The company/promoter is willing and able to enhance i",,Yes,No,No,No,No,No,Yes,No,No,No,2X Challenge Indicators,No,No
,Acqua Group,HIGH,Asset Allocator (DFI),Yes,"The Development Impact Framework at FinDev (Development_Impact_Framework) outlines a clear two-step process for ex-ante impact assessments. First in the “pre-screening” phase, the “pre-screening impact matrix” which determines impact eligibility and high-",Yes,"Assessments are completed in standardized fashion through DI Tool, pre-screening and due diligence tabs (DI Tool). Summary assessments are in turn presented through Triage Documents (screening) and Investment Recommendation Memos (IRMs) for IC approval.",Yes,"Results measurement framework is operationalized through the DI tool (pre-screening matrix, DD score)",Yes,"Development impact analysis is demonstrated in triage documents and discussed in triage meetings (Triage Minuted_Aug 24th, Climate Investor 1). Development impact again articulated within IC memos and further demonstrated in IC meeting minutes (Climate in",Yes,"FinDev has aligned reporting indicators with HIIPSO and IRIS (Development_Impact_Framework, page 9). This is evidenced within DI tool where IRIS ID of metrics is linked (DI TOOL_3A Monitoring data).",x,x,x,x,(blank),4,"DI tool assesses impact according to three impact objectives, capturing the what and who through market development lens, women economic empowerment, and climate change KPIs; these are further linked to an overall Development Impact score (how significant",x,(blank),(blank),(blank),(blank),1,Relative sizing of challenge in a given geography is assessed through the pre-screening matrix leveraging regional indice data. Country data also brought in at a more granular level durng due diligence but effects the overall score less. ,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No
,Acqua Group,HIGH,Asset Allocator (DFI),Yes,See 4C,Yes,"
FinnFund uses the DEAT Tool to assess investments at screening (DEATLite) and due diligence (DEAT), against three categories: strategic relevance, correcting market failures, additionality (Finnfund IMPACT management 2021_OPIM), with development impact a",Yes,"See 4B. 

Also FinnFund has developed Sector-specific ToCs which outline at a high level FinnFund Inputs > Outputs ('Direct Impacts') > Outcomes ('Indirect Impacts') > Impact ('Wider Impacts') of the Impact Thesis. The expected Impacts stated in these hig",Yes,See 4E,Yes,"HIPSO (they are a signatory), IRIS. However no explicit mapping seen in portfolio / individual transaction KPI sets. A quick check of the Indicators 2021 (KPI sets ) for direct investments shows the exact definitions from HIPSO for Direct FTE employment a",x,x,x,(blank),(blank),3,"DEAT tool explicitly calls for assessment of transactions against 'Five Dimensions' of Impact: What, Who, How Much, Contribution and Risk. The Excel tool provides for five free text data cells in total against these dimensions, with a comment inserted aga",x,(blank),(blank),x,(blank),2,Relative Sizing of the challenge addressed in Target Geographies: DEAT narrative in CIP memo and IC/Board Memo is designed to require a narrative on the general scale and depth of the relevant impact challenge and the expected impact solution by the enter,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
,Acqua Group,HIGH,Asset Manager (Diversified),Yes,"•""Impact Screener"" system, seen in both Project Blue and Project Lagoon
•Asks: What, Who, How Much, Contributions and Risks
•Page 4 gives an overview of what kind of positive impacts they expect their investments to have",Yes,"•""Five Dimensions"" in the Project Lagoon (p 6-1) and Project Blue (6-1)
•Standardized documentation and format for previewing and assessing their investment propositions
•See ""TEMPLATE_Annual_Impact_Update"" document for standardized approach",Yes,"•Page 11-181 of Project Lagoon and 13-19 of Project Blue 
•Assesses the ""Contribution"" of FT to the imapct area 
•Uses an Initial v. Projected scoring method to assess expected impact in both community and environmental factors",Yes,"•According to our call with FT, IC does in fact take impact into consideration when making their decisions 
•JL: ""IC memo includes financials as well as the scoring, identifying of SDG targets, KPIs, business plan ""
•JL: ""IC approval means that they sign ",Yes,"•IRIS (FRAA SI Policies & Principles P 5) - KPIs are aligned with IRIS 4.0 metric system
•BREEAM (Brighton, P 20)
•GRESB (FRAA SI Policies & Principles P 7) - FT is also a member of GRESB",x,x,x,(blank),x,4,"•As seen in FT's ""Impact Screener"" in Project Blue and Project Lagoon
iv. ""We feel that our scoring always reflect a base case, which by definition, takes into account the probabilities of both out and underperformance. Our entire asset assessment is buil",x,x,(blank),(blank),(blank),2,"•i: Project Lagoon (P 3), ""Theory of Change"" section - addresign the 22.6% of the population that is > age 65, with projections rising to 33% by 2038
•Project Rose (P 10), serving the student population of Cambridge - affordable student housing
•Project T",,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
CT,Acqua Group,MODERATE,Asset Manager (Impact Only),Yes,"Synova Climate Impact Profile (Boundless Impact Investing)
FullCycle Carbon Scratchpad
Waste Industry and Synova Analysis

Measurable, Material Impact. Potential Platform Companies must quantitatively demonstrate that their projects have the potential to ",Yes,Li-Cycle Interim Investment Memo,Yes,"Synova Climate Impact Profile (Boundless Impact Investing)
FullCycle Carbon Scratchpad
Waste Industry and Synova Analysis",Yes,Li-Cycle Interim Investment Memo,No,(blank),x,(blank),(blank),(blank),(blank),1,"What is the intended impact?
Emission savings over a 20-year time frame, which can be useful when considering critical climate change mitigation efforts needed over the next two decades, were expected to be ~3,928 kgCO2e/ton MSW (carbon saved per ton of w",x,(blank),(blank),x,N/A,2,"Relative size of the challenge addressed
Greenhouse Gas Emissions - Synova operations are expected to have much lower emissions on a per ton MSW basis compared to landfilling in both Thailand (open pit with no methane abatement) and Massachusetts (sanitar",,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
CT,Acqua Group,HIGH,Asset Allocator (DFI),Yes,"Impact is assed at the G1P stage
Considered at IP stage
Considered at BC stage
Overview of processed contained in impact presentation to the board",Yes,"Impact is assed at the G1P stage (project screening tool 2021 feeds in here)
Considered at IP stage
Considered at BC stage

Project screening tool 2021 asses impact on various priority areas (building a green economy, building an inclusive & just economy)",Yes,"G1P requires investment professional to formulate an impact hypothesis
The project screening tool includes a scoring mechanism that help with the initial assessment of impact → feeds into G1P
The BC template includes SDG baselines and targets. It is uncle",Yes,"Yes, the impact goals and targets are included in the BC presentation
Further evidence may be found in IC memos
",No,"Intake comment: “The alignment is not documented and we are working to establish a list of most frequently used standard indicators. Investment Results Frameworks provide examples”
Q&A comment: “They seek to use HIPSO indicators, however, in certain times",x,x,x,x,x,5,"CIP template:
(slide 4): Summarise the overall impact of the company and explain how it contributes to IFU impact priorities and cross-cutting issues.
(slide 5) Impact hypotheses are formed that include
How the company is expected to create impact on the ",x,(blank),(blank),(blank),(blank),1,"Relative sizing: country-additionality tool. BC template also calls for “Explain the significance of the company’s impact creation in the local context, including national SDG-targets”

Increasing impact: Doc ""0K+2B - 20200617 - Impact Presentation to the",,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,2X Challenge,No,No
CT,Acqua Group,ADVANCED,Asset Manager (Diversified),Yes,">KKR's second pass stage is a deep dive into positive impacts, impact measurement, negative impacts, and risks to delivering impacts. During this phase of DD, the deal team drafts impact projection for inclusion in the IC deck. (Impact and ESG Diligence P",Yes,(blank),Yes,">During the second pass impact review, the deal team considers:
1. Confidence: how confident are we that the company's business creates postive imapcts, and why
2. Scale and depth: what the proven or potential size of the impact could be (in relation to t",Yes,See above,Yes,"IRIS, SDG Compass, UN SDG Indicator list",x,x,x,x,x,5,"i. During the second pass in developing the impact thesis, the deal team considers: ""how solutions such as those provided by the company contribute to efforts to address the sustainability challenge identified?"" (Impact and ESG Diligence Process, pg. 9) 
",x,x,x,x,(blank),4,"i. During the second pass impact review, the deal team considers, Scale and depth: what the proven or potential size of the impact could be (in relation to the SDG target and indicator, if relevant). Consider both scale (number of people benefited) and de",,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,"SASB, SDG Compass, SDG Indicators",Yes,No
,Acqua Group,ADVANCED,Asset Manager (Impact Only),Yes,"Yes, uses financial projections as baseline for calculating impact performance, such as customers/consumers reached (i.e., ""lockstep"" concept). IC approval required for all base, downside, and upside impact cases, before being uploaded to Preqin for ongoi",Yes,"Process guided primarily by sector-specific theory of changed (developed by Impact Labs, supported by evidence base). Main results framework FIIRM (financial performance, impact and innovation, and risk management). Each investment evaluated along four di",Yes,"""Yes, FIIRM (finance, impact, innovation, risk management) framework used for all investments, with FIIRM frameworks developed for each sector/thematic area (i.e., include metric sets tailored to LF's theory of change for a given sector/thematic area)

Fo",Yes,"Yes, elements of fundamental questions (i.e., particular metrics from FIIRM) used in other reporting documents.		",Yes,"""Yes, FIIRM framework for each sector indicates which metrics are IRIS aligned [check interview with Roshni re: where other metrics/standards are applied since this isn't explicitly noted but rather referenced as """"embedded"""" in the framework]. ESG & Impa",x,x,x,x,x,5,"""Yes, intended impact (inclduing what, who, significance) articulated in sector-specific theory of change which forms basis for FIIRM framework/metrics. Likelihood of achieving expected impact captured in impact performance projections (base, upside, down",x,x,x,N/A,N/A,3,"""[Find relevant documents that show how impact targets calculated relative to target market/need]

[For opportunities to increase impact, see """"Future areas for value-add"""" across multiple areas in DD reports]

For opportunities to mitigate impact deliver",,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
CT,Acqua Group,HIGH,Other,Yes,"LGT VPs impact framework (which evaluates impact intentionality, reach, inclusiveness, depth, and risk) helps formulate a qualitative understanding of an investee's impact. The impact DDQ, which is organized around the elements of the impact framework, se",Yes,"The process for evaluating impact is outlined in the investment process map. Standardized tools (such as the impact framework, DDQ, Impact Model, and IC memo template) document the means through which impact is assessed. The IC memo for each investment re",Yes,"The Impact Framework is the framework that underlies LGT VP's approach to impact assessment and measurement. For the most part, understanding of impact in the Framework is more qualitative in nature. 

As part of the Impact Model, there is a standard temp",Yes,"Results Framework fundamental questions drive both the screening checklist and the Impact DDQ. The results from both imform the completion of the Impact section of the IC memo, but is not explicitly included in the IC memo, though concepts and language (e",No,"The impact framework is well aligned to IMP dimensions of impact from a qualitative standpoint [see 4F below]. The specific quantitative metrics selected for each investment are informed by LGT VP's retained knowledge for each investment theme, but are ge",x,x,x,x,x,5,"The impact Framework (which is incorporated into the investment process through the Impact DDQ) addresses each of the elements.

""What"" is considered within the Intentionality element; also included in DDQ (what is intended impact) and IC memo

""Who"" is c",x,(blank),x,x,N/A,3,"i. Within the Impact Model and the IC Memo, LGT VP outlines the problem addressed by each investee, typically including some degree of scale of the challenge within the target geography and supported by research [see ""Problem Solved"" section of the Fact S",,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
CT,Acqua Group,LOW,Asset Manager (Impact Only),No,"NF leverages the SLI framework and the Strategic Planning workbook to identify E&S risks and opportunities post-acquisition. The SLI framework comes in more directly to feed into the ongoing monitoring of impact/ESG performance, but not ex-ante. Possible ",No,"See response to 4A - no assessment done ex-ante. NF does use the Strategic Planning template to lay out risks/opportunities, which is (somehow) aligned to the SLI framework - opportunity to include more of an upfront assessment using similar template in e",Yes,"NF brings in the SLI framework (results measurement framework) at time of investment, whereby dimensions of the framework are narrowed in and metrics for corresponding dimensions are selected

Policies describing process:
- NF PRI ESG DDQ: ""New Forests us",No,"The SLI framework and Strategic Planning template come in post-investment and have no influence over the investment decision-making process.

That said, foundational E&S factors do influence the ex-ante assessment...",Yes,"2019 Sustainability Report pg. 9: ""Throughout 2019, New Forests also supported the Global Impact Investing Network (GIIN) in its growing programmatic and research focus on impact investing in sustainable forestry. This support included partnering for pane",x,x,x,(blank),x,4,"i. The SLI framework ensures that metrics capture the central impact thesis and then monitor metrics relevant to the main impact

ii. Captured in SLI's Shared Prosperity and Governance categories primarily - though also tangentially captured in the ecosys",(blank),x,x,(blank),(blank),2,"Strategic planning workbook addresses areas for strategic projects to increase impact, as well as various risk identification and management planning tools",,No,No,No,No,No,No,No,Yes,No,No,No,No,No
