Alignment Ratings Heatmap,,,,,,,,,,All verifications,,,,,,,,,,,All verifications,,,,,
Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,Alignment Score,,Client,Covered Assets AUM,Total AUM,Start Year,Investor Type,Target geography(s)
East Coast Marketing,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,MODERATE,HIGH,,East Coast Marketing,4,4,4,4,4,4,2,3,29,,East Coast Marketing,51702000000,59150000000,1991,Asset allocator (Development agency / DFI),Emerging markets
Farmers Insurance Group,ADVANCED,HIGH,HIGH,MODERATE,ADVANCED,ADVANCED,LOW,MODERATE,,Farmers Insurance Group,4,3,3,2,4,4,1,2,23,,Farmers Insurance Group,275000000,275000000,2016,Asset allocator (Development agency / DFI),Emerging markets
Floral Expressions,HIGH,ADVANCED,HIGH,HIGH,ADVANCED,HIGH,LOW,MODERATE,,Floral Expressions,3,4,3,3,4,3,1,2,23,,Floral Expressions,142000000,142000000,2018,Asset allocator (Development agency / DFI),Emerging markets
Forest Fire Laboratory,ADVANCED,ADVANCED,HIGH,HIGH,ADVANCED,MODERATE,LOW,MODERATE,,Forest Fire Laboratory,4,4,3,3,4,2,1,2,23,,Forest Fire Laboratory,855560650,855560650,1980,Asset allocator (Development agency / DFI),Emerging markets
Goeman Wood Products,ADVANCED,HIGH,ADVANCED,HIGH,MODERATE,HIGH,LOW,MODERATE,,Goeman Wood Products,4,3,4,3,2,3,1,2,22,,Goeman Wood Products,432528736,1391600000,2018,Asset Manager (For-profit diversified),Developed markets
Green Goddess,ADVANCED,ADVANCED,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,,Green Goddess,4,4,2,2,2,2,2,2,20,,Green Goddess,250000000,250000000,2018,Asset Manager (For-profit impact-only),Both
Harris Corporation,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,,Harris Corporation,3,3,3,3,3,3,2,2,22,,Harris Corporation,(blank),(blank),1967,Asset allocator (Development agency / DFI),Emerging markets
Italian Express Franchise,ADVANCED,HIGH,ADVANCED,ADVANCED,ADVANCED,ADVANCED,MODERATE,MODERATE,,Italian Express Franchise,4,3,4,4,4,4,2,2,27,,Italian Express Franchise,1300000000,2.18E+11,2019,Asset Manager (For-profit diversified),Both
Jets Cybernetics,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,,Jets Cybernetics,4,4,4,4,4,4,4,4,32,,Jets Cybernetics,1600000000,1600000000,2007,Asset Manager (For-profit impact-only),Emerging markets
Kaminski,ADVANCED,HIGH,HIGH,HIGH,MODERATE,ADVANCED,HIGH,HIGH,,Kaminski,4,3,3,3,2,4,3,3,25,,Kaminski,35000000,35000000,2007,Asset Owner (Foundation),Emerging markets
Magnussen,HIGH,HIGH,MODERATE,LOW,ADVANCED,MODERATE,MODERATE,HIGH,,Magnussen,3,3,2,1,4,2,2,3,20,,Magnussen,143100000,4260000000,2005,Asset Manager (For-profit diversified),Emerging markets
New England Taxidermy,ADVANCED,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,N/A,HIGH,,New England Taxidermy,4,3,2,2,2,2,N/A,3,18,,New England Taxidermy,4405840000,1.10E+12,2007,Asset Manager (For-profit diversified),Both
New York Public Library,ADVANCED,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,MODERATE,,New York Public Library,4,3,3,3,3,3,1,2,22,,New York Public Library,939000000,see FI,2012,Asset Manager (For-profit diversified),Both
Panasystems,ADVANCED,ADVANCED,MODERATE,ADVANCED,MODERATE,HIGH,LOW,HIGH,,Panasystems,4,4,2,4,2,3,1,3,23,,Panasystems,373000000,373000000,2015,Asset Manager (For-profit impact-only),Emerging markets
Portos Bakery,ADVANCED,ADVANCED,HIGH,ADVANCED,ADVANCED,HIGH,LOW,MODERATE,,Portos Bakery,4,4,3,4,4,3,1,2,25,,Portos Bakery,3818000000,94000000000,2018,Asset Manager (For-profit diversified),Both
Professional Image,MODERATE,HIGH,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,,Professional Image,2,3,2,2,1,2,2,2,16,,Professional Image,962000000,1.39E+12,1976,Asset Manager (For-profit diversified),Developed markets
Ravaal Enterprises,ADVANCED,HIGH,MODERATE,HIGH,HIGH,MODERATE,MODERATE,MODERATE,,Ravaal Enterprises,4,3,2,3,3,2,2,2,21,,Ravaal Enterprises,363000000,363000000,2015,Asset Manager (For-profit impact-only),Emerging markets
The Row by Olsen Twins,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,,The Row by Olsen Twins,2,1,2,1,2,1,1,1,11,,The Row by Olsen Twins,60000000,60000000,2014,Asset Manager (For-profit impact-only),Emerging markets
Vicon Corporation,HIGH,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,MODERATE,,Vicon Corporation,3,2,2,2,3,1,1,2,16,,Vicon Corporation,2743408195,9.03E+11,2017,Asset Manager (For-profit diversified),Both
Windsor,ADVANCED,HIGH,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,,Windsor,4,3,2,3,2,2,2,2,20,,Windsor,2766728302,2.64E+12,2014,Asset allocator (Wealth manager),Both
Wye Technologies,ADVANCED,ADVANCED,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,,Wye Technologies,4,4,2,2,3,2,2,2,21,,Wye Technologies,39873867,39873867,2012,Asset Manager (For-profit impact-only),Emerging markets
(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),,(blank),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,(blank),(blank),(blank),(blank),(blank),(blank)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics Across First 31 Verifications,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,,,,,,,,,,,,,,,,,
ADVANCED,0.666666667,0.4,0.266666667,0.266666667,0.366666667,0.266666667,0.103448276,0.133333333,,,,,,,,,,,,,,,,,,
HIGH,0.233333333,0.5,0.3,0.4,0.2,0.266666667,0.068965517,0.2,,,,,,,,,,,,,,,,,,
MODERATE,0.1,0.066666667,0.4,0.266666667,0.333333333,0.366666667,0.413793103,0.6,,,,,,,,,,,,,,,,,,
LOW,0,0.033333333,0.033333333,0.066666667,0.1,0.1,0.413793103,0.066666667,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,,,,,,,,,,,,,,,,,
ADVANCED,20,12,8,8,11,8,3,4,,,,,,,,,,,,,,,,,,
HIGH,7,15,9,12,6,8,2,6,,,,,,,,,,,,,,,,,,
MODERATE,3,2,12,8,10,11,12,18,,,,,,,,,,,,,,,,,,
LOW,0,1,1,2,3,3,12,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,,,,,,,,,,,,,,,,,
Average Rating Across First 31 Verifications,ADVANCED,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,,,,,,,,,,,,,,,,,,
Check,3.566666667,3.266666667,2.8,2.866666667,2.833333333,2.7,1.862068966,2.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Median Rating Across First 31 Verifications,ADVANCED,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,,,,,,,,,,,,,,,,,,
Check,4,3,3,3,3,3,2,2,,,,,,,,,,,,,,,,,,
